processing_order,source_message_id,segment_id,segment_name,market_group,created_at,updated_at,edited_at,raw_text,normalized_text,normalized_text_hash,record_type,action_label,action_scope,symbol_group,symbol_raw,symbol,symbols_json,contract_month,strike_price,option_type,direction,quantity_percent,quantity_basis,remaining_holding_multiplier,quantity_rule_source,quantity_is_default,execution_prices_json,execution_price_primary,stop_loss,targets_json,target_1,target_2,is_correction,is_multi_instrument,requires_context,auto_apply_eligible,label_confidence,needs_review,label_status,label_source,label_reason,percentage_semantics,exact_duplicate_count,exact_duplicate_rank,is_exact_duplicate,production_status
11,6a139ce1835de84db3696c33,6a0d8832835de84db3693580,International Market,GLOBAL_COMMODITY,2026-05-25T00:50:41.756Z,2026-05-25T00:50:41.756Z,,Sell 50% gold Jun at above price.,Sell 50% gold Jun at above price.,4e099864e5ac4a18,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,gold Jun,GOLD,"[""GOLD""]",JUN,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[],,,[],,,False,False,True,False,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
12,6a139e11835de84db3696c5b,6a0d8832835de84db3693580,International Market,GLOBAL_COMMODITY,2026-05-25T00:55:45.163Z,2026-05-25T00:55:45.163Z,,Sell copper @6.43 with sl 6.51 for target 6.30,Sell copper @6.43 with sl 6.51 for target 6.30,0363be26aed922fa,TRADE_ACTION,OPEN_SHORT,SINGLE_INSTRUMENT,,copper,COPPER,"[""COPPER""]",,,,SHORT,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[6.43],6.43,6.51,[6.3],6.3,,False,False,False,True,0.96,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Sell/short instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
13,6a13c3d5835de84db3696cd8,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-05-25T03:36:53.146Z,2026-05-25T03:36:53.146Z,,BUY CRUDE MINI  @8637 SL 8500 TGT 8800-9100,BUY CRUDE MINI @8637 SL 8500 TGT 8800-9100,9cb8ccbf2a7a3406,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,CRUDE MINI,CRUDE_MINI,"[""CRUDE_MINI""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[8637.0],8637.0,8500.0,"[8800.0, 9100.0]",8800.0,9100.0,False,False,False,True,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Buy instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
14,6a13c3e4835de84db3696ce4,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-05-25T03:37:08.516Z,2026-05-25T03:37:08.516Z,,SELL COPPER @1348 SL 1356 TGT 1342-1338,SELL COPPER @1348 SL 1356 TGT 1342-1338,b29a8d88f6222412,TRADE_ACTION,OPEN_SHORT,SINGLE_INSTRUMENT,,COPPER,COPPER,"[""COPPER""]",,,,SHORT,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[1348.0],1348.0,1356.0,"[1342.0, 1338.0]",1342.0,1338.0,False,False,False,True,0.96,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Sell/short instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
15,6a13c62b835de84db3696f1e,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T03:46:51.188Z,2026-05-25T03:46:51.188Z,,BUY SHRIRAMFIN @963 SL 950 TGT 980-1000,BUY SHRIRAMFIN @963 SL 950 TGT 980-1000,15d29290ef4c499a,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,SHRIRAMFIN,SHRIRAMFIN,"[""SHRIRAMFIN""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[963.0],963.0,950.0,"[980.0, 1000.0]",980.0,1000.0,False,False,False,True,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Buy instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
16,6a13c670835de84db3696f4c,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T03:48:00.558Z,2026-05-25T03:48:00.558Z,,FULL PROFIT BOOK IN EICHERMOT @7364,FULL PROFIT BOOK IN EICHERMOT @7364,42fcdea3e8ab10ea,TRADE_ACTION,CLOSE_POSITION,SINGLE_INSTRUMENT,,EICHERMOT,EICHERMOT,"[""EICHERMOT""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[7364.0],7364.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit full exit.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
17,6a13c7a6835de84db3696f85,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T03:53:10.760Z,2026-05-25T03:53:10.760Z,,FULL PROFIT BOOK IN BANKINDIA@142.25,FULL PROFIT BOOK IN BANKINDIA @142.25,28c402fa9a9a4068,TRADE_ACTION,CLOSE_POSITION,SINGLE_INSTRUMENT,,BANKINDIA,BANKINDIA,"[""BANKINDIA""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[142.25],142.25,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit full exit.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
18,6a13c86a835de84db36970a0,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T03:56:26.763Z,2026-05-25T03:56:26.763Z,,BUY RBLBANK @341.90 SL 336 TGT 348-352,BUY RBLBANK @341.90 SL 336 TGT 348-352,95dae1f6412c0834,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,RBLBANK,RBLBANK,"[""RBLBANK""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[341.9],341.9,336.0,"[348.0, 352.0]",348.0,352.0,False,False,False,True,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Buy instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
19,6a13c874835de84db36970c5,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T03:56:36.724Z,2026-05-25T03:56:36.724Z,,BUY HDFCBANK @781 SL 770 TGT 790-1000,BUY HDFCBANK @781 SL 770 TGT 790-1000,e292009e9ce527cd,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,HDFCBANK,HDFCBANK,"[""HDFCBANK""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[781.0],781.0,770.0,"[790.0, 1000.0]",790.0,1000.0,False,False,False,True,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Buy instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
20,6a13c887835de84db3697116,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T03:56:55.097Z,2026-05-25T03:56:55.097Z,,50% PROFIT BOOK IN HINDALCO @1086,50% PROFIT BOOK IN HINDALCO @1086,9745b75b0027f718,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,HINDALCO,HINDALCO,"[""HINDALCO""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[1086.0],1086.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
21,6a13c891835de84db3697126,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T03:57:05.351Z,2026-05-25T03:57:05.351Z,,50% PROFIT BOOK IN HINDUNILVER @2238,50% PROFIT BOOK IN HINDUNILVER @2238,aea715f4cb92d67d,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,HINDUNILVER,HINDUNILVR,"[""HINDUNILVR""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[2238.0],2238.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
22,6a13c8ad835de84db3697157,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T03:57:33.183Z,2026-05-25T03:57:33.183Z,,FULL PROFIT BOOK IN ADANIENT @2767,FULL PROFIT BOOK IN ADANIENT @2767,d52dc1b12f2581c5,TRADE_ACTION,CLOSE_POSITION,SINGLE_INSTRUMENT,,ADANIENT,ADANIENT,"[""ADANIENT""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[2767.0],2767.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit full exit.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
23,6a13c9cc835de84db369718f,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T04:02:20.472Z,2026-05-25T04:02:20.472Z,,BUY ICICIBANK @1281 SL 1270 TGT 1300,BUY ICICIBANK @1281 SL 1270 TGT 1300,3338fe6bebd27c6e,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,ICICIBANK,ICICIBANK,"[""ICICIBANK""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[1281.0],1281.0,1270.0,[1300.0],1300.0,,False,False,False,True,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Buy instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
24,6a13ca55835de84db36971c6,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T04:04:37.108Z,2026-05-25T04:04:37.108Z,,BUY LT @4000 SL 3960 TGT 4050-4100,BUY LT @4000 SL 3960 TGT 4050-4100,5e36243804e26d48,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,LT,LT,"[""LT""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[4000.0],4000.0,3960.0,"[4050.0, 4100.0]",4050.0,4100.0,False,False,False,True,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Buy instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
25,6a13ccf8835de84db369734e,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T04:15:52.960Z,2026-05-25T04:15:52.960Z,,HOLD RBLBANK WITH SL 335,HOLD RBLBANK WITH SL 335,a4d6ece5550b0925,TRADE_UPDATE,UPDATE_STOP_LOSS,SINGLE_INSTRUMENT,,RBLBANK,RBLBANK,"[""RBLBANK""]",,,,,,NONE,,NOT_APPLICABLE,False,[],,335.0,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Hold and update stop loss.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
26,6a13ceda835de84db36973de,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T04:23:54.786Z,2026-05-25T04:23:54.786Z,,50% PROFIT BOOK IN LT @4030,50% PROFIT BOOK IN LT @4030,8f720b0afd5f4712,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,LT,LT,"[""LT""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[4030.0],4030.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
27,6a13cf86835de84db3697443,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T04:26:46.589Z,2026-05-25T04:26:46.589Z,,BUY TMPV(JUNE) @371 SL 365 TGT 375-380,BUY TMPV(JUNE) @371 SL 365 TGT 375-380,643c859e5383107e,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,TMPV,TMPV,"[""TMPV""]",JUN,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[371.0],371.0,365.0,"[375.0, 380.0]",375.0,380.0,False,False,False,True,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Buy instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
28,6a13d011835de84db369752f,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T04:29:05.066Z,2026-05-25T04:29:05.066Z,,BUY CONCOR (JUN) @511.70 SL 505 TGT 515-524,BUY CONCOR (JUN) @511.70 SL 505 TGT 515-524,ca7acb333ad4ccd5,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,CONCOR,CONCOR,"[""CONCOR""]",JUN,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[511.7],511.7,505.0,"[515.0, 524.0]",515.0,524.0,False,False,False,True,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Buy instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
29,6a13d26e835de84db36977b0,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T04:39:10.604Z,2026-05-25T04:39:10.604Z,,FULL PROFIT BOOK IN SBIN @965,FULL PROFIT BOOK IN SBIN @965,f7181b54410915f7,TRADE_ACTION,CLOSE_POSITION,SINGLE_INSTRUMENT,,SBIN,SBIN,"[""SBIN""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[965.0],965.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit full exit.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,2,1,True,READY_FOR_AUTO_APPLY
30,6a13d998835de84db3697925,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T05:09:44.866Z,2026-05-25T05:09:44.866Z,,50% PROFIT BOOK IN SHRIRAMFIN @970,50% PROFIT BOOK IN SHRIRAMFIN @970,497ba93cfc8f77e2,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,SHRIRAMFIN,SHRIRAMFIN,"[""SHRIRAMFIN""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[970.0],970.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
31,6a13db2f835de84db3697955,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T05:16:31.580Z,2026-05-25T05:16:31.580Z,,50% PROFIT BOOK IN RBLBANK @345.50,50% PROFIT BOOK IN RBLBANK @345.50,e924b3b31011835b,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,RBLBANK,RBLBANK,"[""RBLBANK""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[345.5],345.5,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
32,6a13df87835de84db369798c,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-05-25T05:35:03.727Z,2026-05-25T05:35:03.727Z,,50% PROFIT BOOK IN COPPER @1344.50,50% PROFIT BOOK IN COPPER @1344.50,e2a81dab1963d63b,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,COPPER,COPPER,"[""COPPER""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[1344.5],1344.5,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
33,6a13e532835de84db36979c1,6a0d87fb835de84db3693578,NSE,INDIA_EQUITY,2026-05-25T05:59:14.087Z,2026-05-25T05:59:14.087Z,,50% PROFIT BOOK IN CONCOR(JUNE) @515.70,50% PROFIT BOOK IN CONCOR(JUNE) @515.70,523ebc32b7031f76,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,CONCOR,CONCOR,"[""CONCOR""]",JUN,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[515.7],515.7,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
34,6a13ef99835de84db3697bd9,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-05-25T06:43:37.164Z,2026-05-25T06:43:37.164Z,,50% PROFIT BOOK IN CRUDEMINI @8746,50% PROFIT BOOK IN CRUDEMINI @8746,dc5356a78fbb9eca,TRADE_ACTION,REDUCE_POSITION,SINGLE_INSTRUMENT,,CRUDEMINI,CRUDE_MINI,"[""CRUDE_MINI""]",,,,,50.0,CURRENT_HOLDING,0.5,EXPLICIT_PERCENT,False,[8746.0],8746.0,,[],,,False,False,False,True,0.99,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit percentage reduction of current holding.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,READY_FOR_AUTO_APPLY
