processing_order,source_message_id,segment_id,segment_name,market_group,created_at,updated_at,edited_at,raw_text,normalized_text,normalized_text_hash,record_type,action_label,action_scope,symbol_group,symbol_raw,symbol,symbols_json,contract_month,strike_price,option_type,direction,quantity_percent,quantity_basis,remaining_holding_multiplier,quantity_rule_source,quantity_is_default,execution_prices_json,execution_price_primary,stop_loss,targets_json,target_1,target_2,is_correction,is_multi_instrument,requires_context,auto_apply_eligible,label_confidence,needs_review,label_status,label_source,label_reason,percentage_semantics,exact_duplicate_count,exact_duplicate_rank,is_exact_duplicate,production_status
587,6a282088109e0591bbf76e10,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-09T14:17:44.928Z,2026-06-09T14:17:44.928Z,,SL touched in gold & silver,SL touched in gold & silver,6704daf74fd37e7c,TRADE_ACTION,CLOSE_POSITION,MULTI_INSTRUMENT,,gold & silver,,"[""GOLD"", ""SILVER""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[],,,[],,,False,True,True,False,0.7,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Stop-loss hit closes current holding. Multiple instruments must be split into separate events.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,2,1,True,MANUAL_OR_CONTEXT_REVIEW
588,6a282094109e0591bbf76e24,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-06-09T14:17:56.086Z,2026-06-09T14:17:56.086Z,,SL touched in gold & silver,SL touched in gold & silver,6704daf74fd37e7c,TRADE_ACTION,CLOSE_POSITION,MULTI_INSTRUMENT,,gold & silver,,"[""GOLD"", ""SILVER""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[],,,[],,,False,True,True,False,0.7,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Stop-loss hit closes current holding. Multiple instruments must be split into separate events.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,2,2,True,MANUAL_OR_CONTEXT_REVIEW
598,6a283c57109e0591bbf77521,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-09T16:16:23.442Z,2026-06-09T16:16:23.442Z,,Exit from long positions in indices.,Exit from long positions in indices.,6647fab7f23aacb7,TRADE_ACTION,CLOSE_GROUP,GROUP,INDICES,INDICES,,[],,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[],,,[],,,False,False,True,False,0.9,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Group-level exit for all long index positions.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
648,6a298951109e0591bbf79c50,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-10T15:57:05.019Z,2026-06-10T15:57:05.019Z,,Buying is suggested in nvda @200 with SL 194 for target 220-240,Buying is suggested in nvda @200 with SL 194 for target 220-240,b9a6cd1809e4775f,TRADE_ACTION,OPEN_LONG,SINGLE_INSTRUMENT,,nvda,NVDA,"[""NVDA""]",,,,LONG,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,[200.0],200.0,194.0,"[220.0, 240.0]",220.0,240.0,False,False,False,False,0.88,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Recommendation wording; confirm automatic execution policy.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
685,6a2acf05b0b2fbc3f68c29ea,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-11T15:06:45.410Z,2026-06-11T15:06:45.410Z,,Buy Dow @ 49600 (when triggered) with S/L 49000 for target 51200-51550,Buy Dow @ 49600 (when triggered) with S/L 49000 for target 51200-51550,0c207965cfbe984d,TRADE_CONTROL,CONDITIONAL_INSTRUCTION,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[49600.0],49600.0,49000.0,"[51200.0, 51550.0]",51200.0,51550.0,False,False,True,False,0.88,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Conditional instruction requiring external state.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
719,6a2b8a2ab0b2fbc3f68c4082,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-06-12T04:25:14.295Z,2026-06-12T04:25:14.295Z,,Positional traders are suggested to long gold and silver in 2-3 instalments. Target for gold would be 158000-160000 and silver would be 260000-270000,Positional traders are suggested to long gold and silver in 2-3 instalments. Target for gold would be 158000-160000 and silver would be 260000-270000,171d26139b52fdb1,TRADE_UPDATE,MARKET_COMMENTARY,MULTI_INSTRUMENT,,,,"[""GOLD"", ""SILVER""]",,,,,,NONE,,NOT_APPLICABLE,False,[],,,[],,,False,True,True,False,0.7,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,General long recommendation/commentary. Multiple instruments must be split into separate events.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
729,6a2bb4bbb0b2fbc3f68c4bf4,6a20c6ae59359ea1faef274f,Indian Indices,INDIA_INDEX,2026-06-12T07:26:51.186Z,2026-06-12T07:26:51.186Z,,IGNORE NIFTY LAST MESSAGE,IGNORE NIFTY LAST MESSAGE,b0377f73efc33024,TRADE_CONTROL,CANCEL_PREVIOUS,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[],,,[],,,False,False,True,False,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit ignore/cancel instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
747,6a2bcac7b0b2fbc3f68c5b89,6a20c6ae59359ea1faef274f,Indian Indices,INDIA_INDEX,2026-06-12T09:00:55.338Z,2026-06-12T09:00:55.338Z,,IF YOU ALREADY BOOKED PROFIT IN NIFTY THEN ONLY 50% BUY NIFTY@23600 SL23400 TGT 23800-24000,IF YOU ALREADY BOOKED PROFIT IN NIFTY THEN ONLY 50% BUY NIFTY @23600 SL23400 TGT 23800-24000,1534a0ebcf9c47ee,TRADE_CONTROL,CONDITIONAL_INSTRUCTION,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[23600.0],23600.0,23400.0,"[23800.0, 24000.0]",23800.0,24000.0,False,False,True,False,0.88,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Conditional instruction requiring external state.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
789,6a2fc7e1b0b2fbc3f68c9104,6a20c6ae59359ea1faef274f,Indian Indices,INDIA_INDEX,2026-06-15T09:37:37.132Z,2026-06-15T09:37:37.132Z,,IF YOU ALREADY BOOKED PROFIT IN NIFTY THEN ONLY 50% BUY NIFTY@23911 SL23700 TGT 24500,IF YOU ALREADY BOOKED PROFIT IN NIFTY THEN ONLY 50% BUY NIFTY @23911 SL23700 TGT 24500,bef4878934d70c4f,TRADE_CONTROL,CONDITIONAL_INSTRUCTION,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[23911.0],23911.0,23700.0,[24500.0],24500.0,,False,False,True,False,0.88,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Conditional instruction requiring external state.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
812,6a344f531226b8e7029dd6ec,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-18T20:04:35.075Z,2026-06-18T20:04:35.075Z,,Pls ignore crwd. Buy 50% hood @ 107.80 for target 114-120,Pls ignore crwd. Buy 50% hood @ 107.80 for target 114-120,33b87ada02dc0bad,TRADE_CONTROL,CANCEL_PREVIOUS,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[107.8],107.8,,"[114.0, 120.0]",114.0,120.0,False,False,True,False,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit ignore/cancel instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
883,6a393d7a1226b8e7029e634f,6a0d8832835de84db3693580,International Market,GLOBAL_EQUITY,2026-06-22T13:49:46.263Z,2026-06-22T13:49:46.263Z,,Pls ignore this. There was a typo.,Pls ignore this. There was a typo.,87a9ea2d5cbe0383,TRADE_CONTROL,CANCEL_PREVIOUS,NONE,,,,[],,,,,,NONE,,NOT_APPLICABLE,False,[],,,[],,,False,False,True,False,0.98,False,AUTO_HIGH_CONFIDENCE,RULE_BASED_AND_CURATED,Explicit ignore/cancel instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
964,6a3b5acc1226b8e7029eed10,6a0d881f835de84db369357c,MCX,INDIA_COMMODITY,2026-06-24T04:19:24.511Z,2026-06-24T04:19:24.511Z,,SL TOUCH IN GOLD AND SILVER,SL TOUCH IN GOLD AND SILVER,3e12afffb53ac221,TRADE_ACTION,CLOSE_POSITION,MULTI_INSTRUMENT,,GOLD AND SILVER,,"[""GOLD"", ""SILVER""]",,,,,100.0,CURRENT_HOLDING,0.0,FULL_EXIT_RULE,False,[],,,[],,,False,True,True,False,0.7,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Stop-loss hit closes current holding. Multiple instruments must be split into separate events.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
1034,6a3d463656a63e397cfce044,6a0d8832835de84db3693580,International Market,GLOBAL_COMMODITY,2026-06-25T15:16:06.415Z,2026-06-25T15:16:06.415Z,,Correction: Sell crude@ 71.60 & 73.60 sl 75.00 tgt 68-67,Correction: Sell crude @ 71.60 & 73.60 sl 75.00 tgt 68-67,893369642404498b,TRADE_ACTION,OPEN_SHORT,SINGLE_INSTRUMENT,,crude,CRUDE,"[""CRUDE""]",,,,SHORT,100.0,MODEL_ALLOCATION,,DEFAULT_FULL_ALLOCATION,True,"[71.6, 73.6]",71.6,75.0,"[68.0, 67.0]",68.0,67.0,True,False,True,False,0.85,True,REVIEW_REQUIRED,RULE_BASED_AND_CURATED,Sell/short instruction. Correction must supersede/link to the prior instruction.,REDUCE_POSITION uses current holding: new_holding = current_holding * (1 - quantity_percent / 100).,1,1,False,MANUAL_OR_CONTEXT_REVIEW
