cid,name,type,notnull,dflt_value,pk,table
11,targets_json,TEXT,1,'[]',0,positions
12,status,TEXT,1,'OPEN',0,positions
13,opened_at,TEXT,0,,0,positions
14,updated_at,TEXT,0,,0,positions
15,version,INTEGER,1,1,0,positions
0,source_message_id,TEXT,0,,1,processed_messages
1,text_hash,TEXT,0,,0,processed_messages
2,processed_at,TEXT,0,,0,processed_messages
3,processing_status,TEXT,0,,0,processed_messages
4,trade_event_id,INTEGER,0,,0,processed_messages
0,migration_id,INTEGER,0,,1,schema_migrations
1,migration_name,TEXT,1,,0,schema_migrations
2,applied_at,TEXT,1,,0,schema_migrations
3,checksum,TEXT,1,,0,schema_migrations
0,id,INTEGER,0,,1,shadow_events
1,source_message_id,TEXT,1,,0,shadow_events
2,parsed_event_json,TEXT,1,,0,shadow_events
3,position_before_json,TEXT,0,,0,shadow_events
4,position_after_json,TEXT,0,,0,shadow_events
5,status,TEXT,1,,0,shadow_events
6,applied_at,TEXT,1,,0,shadow_events
0,name,,0,,0,sqlite_sequence
1,seq,,0,,0,sqlite_sequence
0,id,INTEGER,0,,1,trade_events
1,source_message_id,TEXT,0,,0,trade_events
2,processing_order,INTEGER,0,,0,trade_events
3,raw_text,TEXT,0,,0,trade_events
4,normalized_text,TEXT,0,,0,trade_events
5,record_type,TEXT,0,,0,trade_events
6,final_action,TEXT,0,,0,trade_events
7,symbol,TEXT,0,,0,trade_events
8,direction,TEXT,0,,0,trade_events
9,quantity_percent,TEXT,0,,0,trade_events
10,quantity_basis,TEXT,0,,0,trade_events
11,execution_prices_json,TEXT,1,'[]',0,trade_events
12,stop_loss,TEXT,0,,0,trade_events
13,targets_json,TEXT,1,'[]',0,trade_events
14,model_confidence,REAL,0,,0,trade_events
15,resolution_source,TEXT,0,,0,trade_events
16,position_before_json,TEXT,0,,0,trade_events
17,position_after_json,TEXT,0,,0,trade_events
18,processing_status,TEXT,0,,0,trade_events
19,created_at,TEXT,0,,0,trade_events
20,processed_at,TEXT,0,,0,trade_events
21,parser_version,TEXT,0,,0,trade_events
22,parent_source_message_id,TEXT,0,,0,trade_events
23,child_event_index,INTEGER,0,,0,trade_events
0,id,INTEGER,0,,1,verified_events
1,source_message_id,TEXT,1,,0,verified_events
2,approved_event_json,TEXT,1,,0,verified_events
3,position_before_json,TEXT,0,,0,verified_events
4,position_after_json,TEXT,0,,0,verified_events
5,review_id,INTEGER,0,,0,verified_events
6,applied_at,TEXT,1,,0,verified_events
0,id,INTEGER,0,,1,verified_labels
1,source_message_id,TEXT,1,,0,verified_labels
2,raw_text,TEXT,1,,0,verified_labels
3,verified_record_type,TEXT,0,,0,verified_labels
4,verified_action,TEXT,0,,0,verified_labels
5,verified_symbol,TEXT,0,,0,verified_labels
6,verified_direction,TEXT,0,,0,verified_labels
7,verified_quantity_percent,TEXT,0,,0,verified_labels
8,verified_quantity_basis,TEXT,0,,0,verified_labels
9,verified_entry_prices_json,TEXT,0,,0,verified_labels
10,verified_stop_loss,TEXT,0,,0,verified_labels
11,verified_targets_json,TEXT,0,,0,verified_labels
12,original_ml_action,TEXT,0,,0,verified_labels
13,original_ml_confidence,REAL,0,,0,verified_labels
14,original_rule_action,TEXT,0,,0,verified_labels
15,was_corrected,INTEGER,1,0,0,verified_labels
16,created_at,TEXT,1,,0,verified_labels
